id,source_class,discipline,unit,chapter,topic,subtopic,question_type,difficulty,correct_option,figure_required,figures,generator_eligible,validation_status
NEET27-BIO-0013,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Phases and curves,Case Analysis,Difficult,B,False,,True,PASS
NEET27-BIO-0014,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,DNA structure,Statement Completion,Easy,A,False,,True,PASS
NEET27-BIO-0015,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Integrated chapter reasoning,Multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0016,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0017,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Centrioles with Chromatin,Applied statement comparison,Medium,B,False,,True,PASS
NEET27-BIO-0018,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Gymnosperm ovules,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0019,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Split of the Krebs contribution by mechanism,Multi-Step Numerical,Difficult,C,False,,True,PASS
NEET27-BIO-0020,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Phloem with Dicot root,Applied statement comparison,Medium,D,False,,True,PASS
NEET27-BIO-0021,XI,Botany,Unit 3: Cell Structure and Function,Biomolecules,Biomolecules,Glycosidic bond,Numerical,Medium,C,False,,True,PASS
NEET27-BIO-0022,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Stable population,Direct NCERT-based,Easy,B,False,,True,PASS
NEET27-BIO-0023,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0024,XII,Zoology,Unit 6: Reproduction,Human Reproduction,Human Reproduction,Female reproductive system,Applied Classification,Medium,C,False,,True,PASS
NEET27-BIO-0025,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Flocs and BOD,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0026,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Integrated chapter reasoning,Higher-order multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0027,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Euglenoids and Slime moulds,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0028,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Pneumatophores,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0029,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Lactic acid fermentation,Direct Concept,Easy,A,False,,True,PASS
NEET27-BIO-0030,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Consequence of a non-carbohydrate substrate,Application Based,Medium,A,False,,True,PASS
NEET27-BIO-0031,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Speciation and adaptation,Reverse Association,Easy,C,False,,True,PASS
NEET27-BIO-0032,XI,Zoology,Unit 5: Human Physiology,Neural Control and Coordination,Neural Control and Coordination,Neuron structure,Direct Concept,Easy,B,False,,True,PASS
NEET27-BIO-0033,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,Core principles,Match the Pair,Medium,D,False,,True,PASS
NEET27-BIO-0034,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Sex determination,Applied Classification,Medium,A,False,,True,PASS
NEET27-BIO-0035,XI,Zoology,Unit 5: Human Physiology,Locomotion and Movement,Locomotion and Movement,Calcium regulation,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0036,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,ATP from reduced coenzymes,Multi-Step Numerical,Difficult,B,False,,True,PASS
NEET27-BIO-0037,XI,Botany,Unit 3: Cell Structure and Function,Biomolecules,Biomolecules,Properties of enzymes,Numerical,Medium,C,False,,True,PASS
NEET27-BIO-0038,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Comparison of the two fermentations,Comparison Based,Easy,D,False,,True,PASS
NEET27-BIO-0039,XI,Zoology,Unit 5: Human Physiology,Chemical Coordination and Integration,Chemical Coordination and Integration,Neuron structure,Case Analysis,Difficult,C,False,,True,PASS
NEET27-BIO-0040,XI,Zoology,Unit 5: Human Physiology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,Human respiratory tract,Applied Classification,Medium,B,False,,True,PASS
NEET27-BIO-0041,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Prevention and public health,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0042,XI,Botany,Unit 3: Cell Structure and Function,Biomolecules,Biomolecules,DNA base pairing,Multi-Step Numerical,Difficult,B,False,,True,PASS
NEET27-BIO-0043,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Toddy,Direct NCERT-based,Easy,B,False,,True,PASS
NEET27-BIO-0044,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Enzymes of glycolysis,Comparison Based,Easy,A,False,,True,PASS
NEET27-BIO-0045,XI,Zoology,Unit 5: Human Physiology,Excretory Products and Their Elimination,Excretory Products and Their Elimination,Osmoregulation,Direct Concept,Easy,D,False,,True,PASS
NEET27-BIO-0046,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Prothallus and Heterospory,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-0047,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Energy flow and Ten-percent law,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0048,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Chromosomes linkage and crossing over,Match the Pair,Medium,A,False,,True,PASS
NEET27-BIO-0049,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Conditions of growth,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0050,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Integrated chapter reasoning,Multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0051,XI,Zoology,Unit 5: Human Physiology,Body Fluids and Circulation,Body Fluids and Circulation,Heart anatomy,Multi-statement analysis,Difficult,A,False,,True,PASS
NEET27-BIO-0052,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Microsporogenesis and pollen,Integrated Association Analysis,Medium,D,False,,True,PASS
NEET27-BIO-0053,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Gene regulation and genomics,Direct Concept,Easy,B,False,,True,PASS
NEET27-BIO-0054,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,rDNA methodology,Multi-statement analysis,Difficult,B,False,,True,PASS
NEET27-BIO-0055,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,PCR and analysis,Statement Completion,Easy,C,False,,True,PASS
NEET27-BIO-0056,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Echinodermata and Hemichordata,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0057,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Evidence for genetic material,Direct Concept,Easy,D,False,,True,PASS
NEET27-BIO-0058,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Phloem and Tissue systems,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-0059,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Latitudinal gradient with Log species-area form,Applied statement comparison,Medium,D,False,,True,PASS
NEET27-BIO-0060,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Fermented dough,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0061,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Integrated chapter reasoning,Multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0062,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology and Its Applications,Biotechnology and Its Applications,Agricultural applications,Applied Classification,Medium,B,False,,True,PASS
NEET27-BIO-0063,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Root regions,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0064,XI,Zoology,Unit 5: Human Physiology,Neural Control and Coordination,Neural Control and Coordination,Neuron structure,Statement Completion,Easy,B,False,,True,PASS
NEET27-BIO-0065,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0066,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,Restriction and joining enzymes,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0067,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0068,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Integrated chapter reasoning,Multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0069,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Integrated chapter reasoning,Higher-order multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0070,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Genetic code and translation,Match the Pair,Medium,C,False,,True,PASS
NEET27-BIO-0071,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology and Its Applications,Biotechnology and Its Applications,Medical applications,Reverse Association,Easy,C,False,,True,PASS
NEET27-BIO-0072,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Integrated chapter reasoning,Multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0073,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Ethylene and ABA and Seed germination,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0074,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0075,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Statins and Sewage treatment,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0076,XI,Zoology,Unit 5: Human Physiology,Chemical Coordination and Integration,Chemical Coordination and Integration,Endocrine disorders,Direct Concept,Easy,B,False,,True,PASS
NEET27-BIO-0077,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Food chains and energy,Applied Classification,Medium,A,False,,True,PASS
NEET27-BIO-0078,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Pollination,Reverse Association,Easy,D,False,,True,PASS
NEET27-BIO-0079,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Integrated chapter reasoning,Multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0080,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Pollination,Applied Classification,Medium,A,False,,True,PASS
NEET27-BIO-0081,XI,Zoology,Unit 5: Human Physiology,Locomotion and Movement,Locomotion and Movement,Integrated chapter reasoning,Higher-order multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0082,XI,Botany,Unit 1: Diversity in Living World,The Living World,The Living World,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0083,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Gymnosperm heterospory and Gymnosperm nutritive tissue,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-0084,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Integrated chapter reasoning,Higher-order multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0085,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Spatial separation in C4 plants,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0086,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0087,XI,Zoology,Unit 5: Human Physiology,Body Fluids and Circulation,Body Fluids and Circulation,Blood cells,Match the Pair,Medium,C,False,,True,PASS
NEET27-BIO-0088,XI,Zoology,Unit 5: Human Physiology,Body Fluids and Circulation,Body Fluids and Circulation,Vessels pressure and lymph,Direct Concept,Easy,B,False,,True,PASS
NEET27-BIO-0089,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Integrated chapter reasoning,Higher-order multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0090,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0091,XI,Zoology,Unit 5: Human Physiology,Excretory Products and Their Elimination,Excretory Products and Their Elimination,Renin angiotensin aldosterone system,Direct Concept,Easy,D,False,,True,PASS
NEET27-BIO-0092,XI,Botany,Unit 3: Cell Structure and Function,Cell Cycle and Cell Division,Cell Cycle and Cell Division,Meiosis I,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0093,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Integrated chapter reasoning,Multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0094,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Slime moulds and Protozoans,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0095,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Mortality,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0096,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,Restriction and joining enzymes,Match the Pair,Medium,D,False,,True,PASS
NEET27-BIO-0097,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Energy flow,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0098,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Population genetics,Applied Classification,Medium,A,False,,True,PASS
NEET27-BIO-0099,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,DNA structure,Cross-Concept Elimination,Difficult,C,False,,True,PASS
NEET27-BIO-0100,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Integrated chapter reasoning,Multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0101,XI,Zoology,Unit 5: Human Physiology,Locomotion and Movement,Locomotion and Movement,Skeletal muscle,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0102,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Pneumatophores and Underground stems,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0103,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0104,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Calvin-cycle energy with Kranz anatomy,Applied statement comparison,Medium,D,False,,True,PASS
NEET27-BIO-0105,XII,Zoology,Unit 6: Reproduction,Human Reproduction,Human Reproduction,Male reproductive system,Match the Pair,Medium,C,False,,True,PASS
NEET27-BIO-0106,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Muscle tissues,Direct NCERT-based,Easy,B,False,,True,PASS
NEET27-BIO-0107,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Pollination,Statement Completion,Easy,A,False,,True,PASS
NEET27-BIO-0108,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Liverwort reproduction,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0109,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Sex-linked inheritance,Reverse Association,Easy,C,False,,True,PASS
NEET27-BIO-0110,XI,Zoology,Unit 5: Human Physiology,Neural Control and Coordination,Neural Control and Coordination,Impulse and synapse,Statement Completion,Easy,A,False,,True,PASS
NEET27-BIO-0111,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology and Its Applications,Biotechnology and Its Applications,Agricultural applications,Integrated Association Analysis,Medium,B,False,,True,PASS
NEET27-BIO-0112,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Latitudinal gradient and Species-area relationship,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0113,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Immunity,Integrated Association Analysis,Medium,A,False,,True,PASS
NEET27-BIO-0114,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0115,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Integrated chapter reasoning,Higher-order multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0116,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Fertilization,Reverse Association,Easy,B,False,,True,PASS
NEET27-BIO-0117,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Pollination,Multi-statement analysis,Difficult,C,False,,True,PASS
NEET27-BIO-0118,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Genetic terminology,Applied Classification,Medium,D,False,,True,PASS
NEET27-BIO-0119,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,C4 initial fixation,Direct NCERT-based,Easy,B,False,,True,PASS
NEET27-BIO-0120,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Genetic code and translation,Integrated Association Analysis,Medium,C,False,,True,PASS
NEET27-BIO-0121,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Mutualism and Competition,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0122,XI,Botany,Unit 1: Diversity in Living World,The Living World,The Living World,Taxonomic hierarchy,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0123,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Stomatal apparatus and Meristems,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-0124,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,DNA structure,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0125,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Origin of life,Applied Classification,Medium,D,False,,True,PASS
NEET27-BIO-0126,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Chemiosmosis and Calvin-cycle carboxylation,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0127,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Kingdom Protista,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0128,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,DNA structure,Match the Pair,Medium,A,False,,True,PASS
NEET27-BIO-0129,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology and Its Applications,Biotechnology and Its Applications,Bioethics and ownership,Direct Concept,Easy,B,False,,True,PASS
NEET27-BIO-0130,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Integrated chapter reasoning,Higher-order multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0131,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Integrated chapter reasoning,Multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0132,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0133,XI,Zoology,Unit 5: Human Physiology,Excretory Products and Their Elimination,Excretory Products and Their Elimination,Habitat and excretory product,Application Based,Medium,D,False,,True,PASS
NEET27-BIO-0134,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,Core principles,Reverse Association,Easy,A,False,,True,PASS
NEET27-BIO-0135,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Sigmoid growth curve,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0136,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Integrated chapter reasoning,Multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0137,XII,Zoology,Unit 6: Reproduction,Human Reproduction,Human Reproduction,Gametogenesis,Statement Completion,Easy,D,False,,True,PASS
NEET27-BIO-0138,XI,Zoology,Unit 5: Human Physiology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,Mechanics of breathing,Applied Classification,Medium,B,False,,True,PASS
NEET27-BIO-0139,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Mendelian inheritance,Reverse Association,Easy,A,False,,True,PASS
NEET27-BIO-0140,XI,Botany,Unit 3: Cell Structure and Function,Cell Cycle and Cell Division,Cell Cycle and Cell Division,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0141,XI,Zoology,Unit 5: Human Physiology,Locomotion and Movement,Locomotion and Movement,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0142,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Amphibia with Mammalia,Applied statement comparison,Medium,C,False,,True,PASS
NEET27-BIO-0143,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0144,XI,Zoology,Unit 5: Human Physiology,Locomotion and Movement,Locomotion and Movement,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0145,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Calvin-cycle energy and C4 initial fixation,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0146,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Microsporogenesis and pollen,Applied Classification,Medium,A,False,,True,PASS
NEET27-BIO-0147,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0148,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Microsporogenesis and pollen,Direct Concept,Easy,D,False,,True,PASS
NEET27-BIO-0149,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Stomatal apparatus,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0150,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Endomembrane system and Rough and smooth ER,Statement I and Statement II,Medium,D,False,,True,PASS
