id,standard,subject,branch,source_class,unit,chapter,topic,subtopic,question_type,question,option_A,option_B,option_C,option_D,correct_option,correct_answer,explanation,difficulty,cognitive_level,marks_correct,marks_incorrect,marks_unattempted,source_document,source_chapter,source_page,syllabus_reference,figure_files,figure_required,tags,generator_eligible,validation_status
NEET27-PHY-0011,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,force,Conceptual/application MCQ,The dimensional formula of force is:,[M L T⁻²],[M⁰ L T⁻¹],[M L² T⁻²],[M L⁻¹ T⁻²],A,[M L T⁻²],"From F = ma, the dimensions are [M][L T⁻²] = [M L T⁻²].",Easy,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensions|force,True,PASS
NEET27-PHY-0012,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,dimensionless quantities,Conceptual/application MCQ,Which quantity is dimensionless but commonly expressed using a named angular unit?,Plane angle,Angular momentum,Torque,Angular velocity,A,Plane angle,A plane angle is the ratio of arc length to radius and is dimensionless; radian is its named SI unit.,Easy,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensions|dimensionless quantities,True,PASS
NEET27-PHY-0013,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,gravitational constant,Direct MCQ,The dimensional formula of the universal gravitational constant G is:,[M⁻¹L²T⁻¹],[M⁻¹L³T⁻²],[ML²T⁻²],[MLT⁻²],B,[M⁻¹L³T⁻²],"From F = Gm₁m₂/r², [G] = [F][r²]/[m²] = [M⁻¹L³T⁻²].",Easy,Recall,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensions|gravitational constant,True,PASS
NEET27-PHY-0014,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Conceptual/application MCQ,"In g = 4 pi² L / T², to minimise the error in g the quantity that must be measured most precisely is:",the constant π,"the period T, since it appears squared",the number 4,"the length L, since it appears to the first power",B,"the period T, since it appears squared","Since T appears squared, its relative error is doubled in g, so T must be measured most carefully.",Difficult,Analysis,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0015,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,One-step numerical MCQ,"If Z = A + B, the maximum absolute error in Z is:",(delta A) + (delta B),(delta A) - (delta B),(delta A)/(delta B),(delta A) × (delta B),A,(delta A) + (delta B),"For a sum, the maximum absolute error is the sum of the absolute errors: delta Z = delta A + delta B.",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0016,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,"In g = 4 pi² L / T², the percentage errors in L and T are 1% and 2%. The maximum percentage error in g is:",4%,1%,3%,5%,D,5%,Percentage error in g = (error in L) + 2 × (error in T) = 1 + 2(2) = 5%.,Difficult,Analysis,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0017,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Mean value,One-step numerical MCQ,"Five readings of a length are 2.63, 2.65, 2.64, 2.62 and 2.66 cm. The mean value is:",2.65 cm,2.60 cm,2.63 cm,2.64 cm,D,2.64 cm,Mean = (2.63 + 2.65 + 2.64 + 2.62 + 2.66)/5 = 13.20/5 = 2.64 cm.,Difficult,Analysis,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Mean value,True,PASS
NEET27-PHY-0018,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Two resistances R1 = (100 +/- 3) Ω and R2 = (200 +/- 4) Ω are joined in series. The equivalent resistance with its absolute error is:,(100 +/- 7) Ω,(300 +/- 5) Ω,(300 +/- 7) Ω,(300 +/- 1) Ω,C,(300 +/- 7) Ω,"Series R = R1 + R2 = 300 Ω and delta R = 3 + 4 = 7 Ω, so R = (300 +/- 7) Ω.",Difficult,Analysis,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0019,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Types of error,Direct MCQ,"Errors that arise from carelessness of the observer, such as misreading a scale, are classified as:",gross errors,least count errors,systematic errors,random errors,A,gross errors,"Gross errors are due to human mistakes such as wrong readings or recording, and can be avoided with care.",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Types of error,True,PASS
NEET27-PHY-0020,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Conceptual/application MCQ,The relative error in a quantity raised to the power n is:,n squared times the relative error in the quantity,equal to the relative error in the quantity,1/n times the relative error in the quantity,n times the relative error in the quantity,D,n times the relative error in the quantity,"For Z = A^n, the relative error is delta Z / Z = n (delta A / A).",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0021,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,"A quantity is P = a³ b² / (c d¹⁄²). If the percentage errors in a, b, c and d are 1, 2, 3 and 4%, the maximum percentage error in P is:",18%,12%,14%,10%,B,12%,Percentage error = 3(1) + 2(2) + 1(3) + (1/2)(4) = 3 + 4 + 3 + 2 = 12%.,Difficult,Analysis,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0022,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,The density of a body is found from ρ = m / V with m = (10.0 +/- 0.1) g and V = (5.0 +/- 0.1) cm³. The percentage error in ρ is:,3%,0.3%,2%,1%,A,3%,Percentage error in m = 1% and in V = 2%; for ρ = m/V they add to 3%.,Difficult,Analysis,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0023,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,One-step numerical MCQ,"If Z = A B, the maximum relative error in Z is:",(delta A + delta B)/(A + B),(delta A)(delta B)/(A B),(delta A)/A + (delta B)/B,(delta A)/A - (delta B)/B,C,(delta A)/A + (delta B)/B,"For a product, the relative errors add: delta Z / Z = delta A / A + delta B / B.",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0024,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Reducing errors,Direct MCQ,Random errors in a measurement can be minimised by:,using a single careful reading,choosing an instrument with a larger least count,correcting the zero error,taking a large number of readings and averaging them,D,taking a large number of readings and averaging them,"Because random errors are equally likely to be positive or negative, averaging many readings reduces their net effect.",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Reducing errors,True,PASS
NEET27-PHY-0025,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Conceptual/application MCQ,"When two measured quantities are multiplied, the percentage error in the product is:",the product of their percentage errors,the difference of their percentage errors,the larger of their percentage errors,the sum of their percentage errors,D,the sum of their percentage errors,For a product the relative (and hence percentage) errors add.,Easy,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0026,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Types of error,Direct MCQ,The magnitude of the difference between the true value and a measured value of a quantity is called the:,absolute error,random error,relative error,percentage error,A,absolute error,The absolute error in a measurement is the magnitude of the difference between the measured value and the true (mean) value.,Easy,Recall,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Types of error,True,PASS
NEET27-PHY-0027,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Mean absolute error,Multi-step numerical MCQ,"For the five readings 2.63, 2.65, 2.64, 2.62 and 2.66 cm with mean 2.64 cm, the mean absolute error is:",0.006 cm,0.02 cm,0.01 cm,0.012 cm,D,0.012 cm,"Deviations are 0.01, 0.01, 0.00, 0.02, 0.02; their sum is 0.06 and the mean absolute error is 0.06/5 = 0.012 cm.",Difficult,Analysis,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Mean absolute error,True,PASS
NEET27-PHY-0028,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Types of error,Direct MCQ,A zero error in a screw gauge that shifts every reading by the same amount is an example of a:,systematic error,gross error,random error,least count error,A,systematic error,"A constant, repeatable offset such as a zero error is a systematic error and can be corrected by calibration.",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Types of error,True,PASS
NEET27-PHY-0029,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,The side of a cube is measured as (2.00 +/- 0.01) cm. The percentage error in its volume is:,0.5%,3.0%,4.5%,1.5%,D,1.5%,"Relative error in side = 0.01/2.00 = 0.5%; volume goes as side³, so percentage error = 3 × 0.5 = 1.5%.",Difficult,Analysis,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0030,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,The percentage errors in mass and speed of a body are 2% and 3%. The maximum percentage error in its kinetic energy (1/2 m v²) is:,11%,5%,8%,6%,C,8%,Percentage error in KE = (error in m) + 2 × (error in v) = 2 + 2(3) = 8%.,Difficult,Analysis,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0031,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,One-step numerical MCQ,"If Z = A - B, the maximum absolute error in Z is:",(delta A) - (delta B),(delta A) × (delta B),(delta A) + (delta B),zero,C,(delta A) + (delta B),"For a difference, the maximum absolute error is still the sum of the absolute errors: delta Z = delta A + delta B.",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0032,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Least count and error,Direct MCQ,A time interval is recorded as 4.6 s. The implied absolute uncertainty in this reading is about:,0.6 s,0.01 s,0.1 s,1 s,C,0.1 s,"The uncertainty is taken to lie in the last significant digit, here the tenths place, giving about 0.1 s.",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Least count and error,True,PASS
NEET27-PHY-0033,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Two lengths are A = (10.0 +/- 0.1) cm and B = (5.0 +/- 0.1) cm. The percentage error in Z = A + B is about:,0.2%,3.0%,1.3%,2.0%,C,1.3%,"delta Z = 0.1 + 0.1 = 0.2 cm and Z = 15.0 cm, so percentage error = (0.2/15.0) × 100 ~ 1.3%.",Difficult,Analysis,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0034,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Types of error,Direct MCQ,The relative error in a measurement is defined as:,mean absolute error divided by 100,mean value divided by the mean absolute error,mean absolute error divided by the mean value,mean absolute error multiplied by the mean value,C,mean absolute error divided by the mean value,"Relative error = mean absolute error / mean value, a dimensionless ratio.",Easy,Recall,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Types of error,True,PASS
NEET27-PHY-0035,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Least count,Direct MCQ,The least count of a measuring instrument is:,the zero error of the instrument,the largest measurement it can display,the average of its scale readings,the smallest measurement that can be made with it,D,the smallest measurement that can be made with it,"The least count is the smallest value that an instrument can measure, setting its resolution.",Easy,Recall,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Least count,True,PASS
NEET27-PHY-0036,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,A resistance is found using R = V / I with V = (100 +/- 5) V and I = (10 +/- 0.2) A. The percentage error in R is:,3%,10%,2.5%,7%,D,7%,Percentage error in V = 5% and in I = 2%; for R = V/I they add to 7%.,Difficult,Analysis,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0037,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,One-step numerical MCQ,"For Z = A + B with A = (4.0 +/- 0.2) and B = (6.0 +/- 0.3), the value of Z with its absolute error is:",10.0 +/- 0.5,2.0 +/- 0.5,10.0 +/- 0.25,10.0 +/- 0.1,A,10.0 +/- 0.5,"Z = 4.0 + 6.0 = 10.0 and delta Z = 0.2 + 0.3 = 0.5, so Z = 10.0 +/- 0.5.",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Propagation of errors,True,PASS
NEET27-PHY-0038,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Percentage error,One-step numerical MCQ,"If the relative error in a measurement is 0.02, the percentage error is:",20%,0.02%,2%,0.2%,C,2%,Percentage error = 0.02 × 100 = 2%.,Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Percentage error,True,PASS
NEET27-PHY-0039,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Types of error,One-step numerical MCQ,The percentage error in a measurement is equal to the relative error:,multiplied by 100,multiplied by the mean value,added to 100,divided by 100,A,multiplied by 100,"Percentage error is the relative error expressed per hundred, so it equals the relative error times 100.",Easy,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Errors in Measurement|Types of error,True,PASS
